zaal,naam,resultaat,hoeken
zaal_15,IMG_20190323_115244.jpg,True,"[array([[[ 565,  305]],

       [[3379,  391]],

       [[3467, 2777]],

       [[ 463, 2833]]], dtype=int32)]"
zaal_15,IMG_20190323_115249.jpg,True,"[array([[[2903,  405]],

       [[2800, 3347]],

       [[ 307, 3285]],

       [[ 218,  439]]], dtype=int32)]"
zaal_15,IMG_20190323_115256.jpg,True,"[array([[[ 696,  511]],

       [[3437,  549]],

       [[3381, 2390]],

       [[ 726, 2390]]], dtype=int32)]"
zaal_15,IMG_20190323_115301.jpg,True,"[array([[[3358,  500]],

       [[3336, 2199]],

       [[ 925, 2256]],

       [[ 865,  501]]], dtype=int32)]"
zaal_15,IMG_20190323_115313.jpg,True,"[array([[[ 652, 1043]],

       [[2733, 1105]],

       [[2625, 3359]],

       [[ 693, 3426]]], dtype=int32)]"
zaal_15,IMG_20190323_115319.jpg,True,"[array([[[3278,  434]],

       [[3248, 2722]],

       [[ 493, 2659]],

       [[ 505,  436]]], dtype=int32)]"
zaal_15,IMG_20190323_115325.jpg,True,"[array([[[2510,  654]],

       [[2712, 3039]],

       [[ 357, 3046]],

       [[ 544,  679]]], dtype=int32)]"
zaal_15,IMG_20190323_115334.jpg,True,"[array([[[ 605,  226]],

       [[3336,  244]],

       [[3281, 2622]],

       [[ 655, 2643]]], dtype=int32)]"
zaal_15,IMG_20190323_115351.jpg,True,"[array([[[ 646,  348]],

       [[3198,  378]],

       [[3207, 2669]],

       [[ 684, 2677]]], dtype=int32)]"
zaal_15,IMG_20190323_115356.jpg,True,"[array([[[3385,  366]],

       [[3378, 2730]],

       [[ 815, 2704]],

       [[ 807,  412]]], dtype=int32)]"
zaal_15,IMG_20190323_115509.jpg,True,"[array([[[3368,  361]],

       [[3356, 2576]],

       [[ 645, 2599]],

       [[ 620,  373]]], dtype=int32)]"
zaal_15,IMG_20190323_115515.jpg,True,"[array([[[2800,  743]],

       [[2752, 3188]],

       [[ 470, 3128]],

       [[ 409,  806]]], dtype=int32)]"
zaal_15,IMG_20190323_115520.jpg,True,"[array([[[ 823,  386]],

       [[3298,  393]],

       [[3487, 2717]],

       [[ 692, 2789]]], dtype=int32)]"
zaal_15,IMG_20190323_115527.jpg,False,[]
zaal_15,IMG_20190323_115532.jpg,False,[]
zaal_15,IMG_20190323_115539.jpg,False,[]
zaal_15,IMG_20190323_115546.jpg,False,[]
zaal_15,IMG_20190323_115551.jpg,False,[]
zaal_15,IMG_20190323_115559.jpg,False,[]
zaal_15,IMG_20190323_115648.jpg,True,"[array([[[ 803, 2442]],

       [[3439, 2612]],

       [[3337,  528]],

       [[ 918,  572]]])]"
zaal_15,IMG_20190323_115715.jpg,True,"[array([[[2848,  333]],

       [[2772, 3298]],

       [[ 275, 3268]],

       [[ 216,  376]]], dtype=int32)]"
zaal_15,IMG_20190323_115723.jpg,True,"[array([[[ 604,  524]],

       [[2450,  593]],

       [[2377, 2718]],

       [[ 593, 2687]]], dtype=int32)]"
zaal_15,IMG_20190323_115729.jpg,True,"[array([[[ 394,  603]],

       [[2479,  614]],

       [[2430, 2997]],

       [[ 474, 3007]]], dtype=int32)]"
zaal_15,IMG_20190323_115734.jpg,True,"[array([[[2374,  915]],

       [[2324, 2787]],

       [[ 684, 2798]],

       [[ 642,  917]]], dtype=int32)]"
zaal_15,IMG_20190323_115742.jpg,True,"[array([[[2380,  909]],

       [[2340, 3188]],

       [[ 489, 3124]],

       [[ 472,  934]]], dtype=int32)]"
zaal_15,IMG_20190323_115747.jpg,True,"[array([[[ 546,  914]],

       [[2380,  935]],

       [[2320, 2969]],

       [[ 585, 2948]]], dtype=int32)]"
zaal_15,IMG_20190323_115808.jpg,True,"[array([[[2730,  514]],

       [[2720, 3457]],

       [[ 256, 3436]],

       [[ 216,  527]]], dtype=int32)]"
zaal_15,IMG_20190323_115813.jpg,True,"[array([[[ 525,  643]],

       [[2568,  679]],

       [[2496, 3006]],

       [[ 552, 2978]]], dtype=int32)]"
zaal_15,IMG_20190323_115822.jpg,True,"[array([[[ 168,  536]],

       [[2583,  557]],

       [[2505, 3237]],

       [[ 240, 3245]]], dtype=int32)]"
zaal_15,IMG_20190323_115911.jpg,True,"[array([[[ 404,  234]],

       [[3568,  245]],

       [[3558, 2688]],

       [[ 426, 2710]]], dtype=int32)]"
zaal_15,IMG_20190323_115916.jpg,True,"[array([[[2927,  779]],

       [[2878, 2151]],

       [[1244, 2179]],

       [[1187,  783]]], dtype=int32)]"
zaal_15,IMG_20190323_115919.jpg,True,"[array([[[1445,  885]],

       [[2645,  886]],

       [[2691, 2120]],

       [[1426, 2139]]], dtype=int32)]"
zaal_15,IMG_20190323_115924.jpg,True,"[array([[[ 583,  276]],

       [[3728,  244]],

       [[3758, 2600]],

       [[ 625, 2679]]], dtype=int32)]"
zaal_15,IMG_20190323_115940.jpg,True,"[array([[[1404,  524]],

       [[3586,  561]],

       [[3559, 2099]],

       [[1423, 2144]]], dtype=int32)]"
zaal_15,IMG_20190323_115950.jpg,True,"[array([[[ 403,  145]],

       [[3587,  253]],

       [[3597, 2432]],

       [[ 431, 2571]]], dtype=int32)]"
zaal_15,IMG_20190323_115959.jpg,True,"[array([[[2467,  849]],

       [[2429, 3076]],

       [[ 608, 3016]],

       [[ 585,  895]]], dtype=int32)]"
zaal_15,IMG_20190323_120003.jpg,True,"[array([[[ 224,  484]],

       [[2546,  495]],

       [[2507, 3235]],

       [[ 323, 3278]]], dtype=int32)]"
zaal_15,IMG_20190323_120008.jpg,True,"[array([[[2728,  324]],

       [[2680, 3396]],

       [[ 306, 3428]],

       [[ 191,  339]]], dtype=int32)]"
zaal_15,IMG_20190323_120015.jpg,True,"[array([[[ 256,  486]],

       [[2616,  495]],

       [[2540, 3193]],

       [[ 324, 3178]]], dtype=int32)]"
zaal_15,IMG_20190323_120040.jpg,True,"[array([[[3518,  184]],

       [[3518, 2762]],

       [[ 543, 2750]],

       [[ 544,  184]]], dtype=int32)]"
zaal_15,IMG_20190323_120044.jpg,True,"[array([[[2818,  495]],

       [[2760, 3246]],

       [[ 406, 3210]],

       [[ 348,  543]]], dtype=int32)]"
zaal_15,IMG_20190323_120118.jpg,True,"[array([[[ 364,  146]],

       [[3748,  184]],

       [[3718, 2648]],

       [[ 423, 2720]]], dtype=int32)]"
zaal_15,IMG_20190323_120122.jpg,True,"[array([[[ 594,  485]],

       [[3306,  504]],

       [[3318, 2658]],

       [[ 603, 2692]]], dtype=int32)]"
zaal_15,IMG_20190323_120135.jpg,True,"[array([[[ 345,  154]],

       [[3804,  147]],

       [[3806, 2908]],

       [[ 365, 2890]]], dtype=int32)]"
zaal_15,IMG_20190323_120141.jpg,True,"[array([[[3827,  175]],

       [[3807, 2698]],

       [[ 344, 2718]],

       [[ 305,  214]]], dtype=int32)]"
zaal_15,IMG_20190323_120144.jpg,True,"[array([[[1115,  765]],

       [[2970,  794]],

       [[2874, 2277]],

       [[1175, 2270]]], dtype=int32)]"
zaal_15,IMG_20190323_120146.jpg,True,"[array([[[1226,  793]],

       [[2932,  804]],

       [[2968, 2288]],

       [[1163, 2269]]], dtype=int32)]"
zaal_15,IMG_20190323_120210.jpg,True,"[array([[[2780,  601]],

       [[2741, 2979]],

       [[ 264, 2928]],

       [[ 315,  613]]], dtype=int32)]"
zaal_15,IMG_20190323_120226.jpg,True,"[array([[[ 602,  295]],

       [[3378,  343]],

       [[3361, 2600]],

       [[ 627, 2638]]], dtype=int32)]"
zaal_15,IMG_20190323_120243.jpg,True,"[array([[[ 664,  229]],

       [[3076,  260]],

       [[3047, 2819]],

       [[ 665, 2839]]], dtype=int32)]"
zaal_15,IMG_20190323_120248.jpg,True,"[array([[[ 114,  354]],

       [[2688,  361]],

       [[2568, 3338]],

       [[ 213, 3319]]], dtype=int32)]"
zaal_15,IMG_20190323_120253.jpg,True,"[array([[[2761,  643]],

       [[2669, 3109]],

       [[ 302, 3077]],

       [[ 244,  651]]], dtype=int32)]"
